title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
"Z4105194789",3208,Done,45.27,-7.68313,"glide-grid_6eti",,,-7.68313,0,,,,,,,,,,,,,1,,,-7.68313,-36.6925,0.0412936,-36.6512,3.75081,-53.7073
"Z4105195379",3209,Done,45.69,-8.63834,"glide-grid_6eti",,,-8.63834,0,,,,,,,,,,,,,1,,,-8.63834,-39.534,-1.1563,-40.6903,3.22726,-66.2316
"Z4105195379",3210,Done,46.73,-8.68446,"glide-grid_6eti",,,-8.68446,0,,,,,,,,,,,,,1,,,-8.68446,-46.2348,-1.58809,-47.8229,4.53586,-71.7299
"Z4105195379",3211,Done,43.17,-8.11841,"glide-grid_6eti",,,-8.11841,0,,,,,,,,,,,,,1,,,-8.11841,-45.708,-1.05195,-46.76,4.89165,-68.8306
"Z4105195379",3212,Done,42.58,-8.46708,"glide-grid_6eti",,,-8.46708,0,,,,,,,,,,,,,1,,,-8.46708,-46.1005,-2.97058,-49.0711,4.25807,-72.2481
"Z4480903966",3213,Done,87.29,-9.20875,"glide-grid_6eti",,,-9.20875,-0.7,,,,,,,,,,,,,1,,,-9.20875,-36.26,-4.92299,-41.183,7.7934,-56.1824
"Z4480903966",3214,Done,78.63,-8.50584,"glide-grid_6eti",,,-8.50584,-0.370812,,,,,,,,,,,,,1,,,-8.50584,-37.497,-2.03113,-39.5281,6.00591,-51.4095
"Z4480903966",3215,Done,87.9,-9.2279,"glide-grid_6eti",,,-9.2279,0,,,,,,,,,,,,,1,,,-9.2279,-37.2765,-2.72905,-40.0055,2.91157,-51.9561
"Z4480903966",3216,Done,86.43,-8.96241,"glide-grid_6eti",,,-8.96241,-0.46819,,,,,,,,,,,,,1,,,-8.96241,-38.8179,-2.35446,-41.1723,6.94917,-61.3376
"Z4607589933",3217,Done,41.16,-8.77824,"glide-grid_6eti",,,-8.77824,0,,,,,,,,,,,,,1,,,-8.77824,-40.9496,-4.22036,-45.17,23.5919,-51.7889
"Z4607589933",3218,Done,57.62,-9.35053,"glide-grid_6eti",,,-9.35053,-0.7,,,,,,,,,,,,,1,,,-9.35053,-44.1798,-5.15862,-49.3385,3.39111,-75.2044
"Z4607589933",3219,Done,56.93,-9.71435,"glide-grid_6eti",,,-9.71435,-0.675231,,,,,,,,,,,,,1,,,-9.71435,-46.2896,-4.82653,-51.1161,2.35009,-75.2074
"Z4607589933",3220,Done,51.06,-8.35764,"glide-grid_6eti",,,-8.35764,0,,,,,,,,,,,,,1,,,-8.35764,-45.0779,-1.46691,-46.5448,4.39369,-69.4269
"Z4607589933",3221,Done,56.93,-9.71435,"glide-grid_6eti",,,-9.71435,-0.675231,,,,,,,,,,,,,1,,,-9.71435,-46.2896,-4.82653,-51.1161,2.35009,-75.2074
"Z4607589933",3222,Done,50.78,-8.35764,"glide-grid_6eti",,,-8.35764,0,,,,,,,,,,,,,1,,,-8.35764,-45.0779,-1.46691,-46.5448,4.39369,-69.4269
"Z4607589933",3223,Done,51.69,-9.74926,"glide-grid_6eti",,,-9.74926,-0.7,,,,,,,,,,,,,1,,,-9.74926,-46.4063,-5.36426,-51.7706,5.60867,-75.2669
"Z4607589933",3224,Done,41.09,-9.60837,"glide-grid_6eti",,,-9.60837,-0.7,,,,,,,,,,,,,1,,,-9.60837,-44.1478,-4.54744,-48.6952,8.18513,-59.5879
"Z4617219577",3225,Done,70.88,-6.24423,"glide-grid_6eti",,,-6.24423,-0.7,,,,,,,,,,,,,1,,,-6.24423,-32.6047,-5.42388,-38.0286,5.74079,-47.7425
"Z4617219577",3226,Done,71.08,-6.33166,"glide-grid_6eti",,,-6.33166,-0.7,,,,,,,,,,,,,1,,,-6.33166,-32.3126,-5.76677,-38.0794,6.37999,-49.8396
"Z4617352687",3227,Done,46.55,-6.48622,"glide-grid_6eti",,,-6.48622,0,,,,,,,,,,,,,1,,,-6.48622,-35.7172,-4.78188,-40.499,13.6667,-56.345
"Z4662019612",3228,Done,34.17,-7.46989,"glide-grid_6eti",,,-7.46989,0,,,,,,,,,,,,,1,,,-7.46989,-43.842,-3.36054,-47.2026,3.19412,-68.0867
"Z2442323528",3229,Done,27.38,-6.25217,"glide-grid_6eti",,,-6.25217,0,,,,,,,,,,,,,1,,,-6.25217,-27.4855,-3.04992,-30.5354,0.0866876,-43.1109
"Z1470854568",3230,Done,88.19,-6.8579,"glide-grid_6eti",,,-6.8579,0,,,,,,,,,,,,,1,,,-6.8579,-27.9223,-4.44133,-32.3636,11.1297,-36.0952
