ids,SMILES
Z1529248336,O=C(NS(=O)(=O)c1cnccn1)C1CCC(F)(F)CC1
Z1529870101,Cc1cc(C)n(Cc2ccc(C(=O)N3CC[C@H](CO)C3)cc2)n1
Z1529870101,Cc1cc(C)n(Cc2ccc(C(=O)N3CC[C@@H](CO)C3)cc2)n1
Z737665926,Cc1cc(C(=O)Nc2ccc(OC(F)F)c(F)c2)nn1-c1ccccc1
Z1578723276,CC[C@H]([NH2+]C[C@H](O)c1ccc(Cl)cc1)c1ccc(OC)cc1
Z1578723276,CC[C@@H]([NH2+]C[C@H](O)c1ccc(Cl)cc1)c1ccc(OC)cc1
Z1578723276,CC[C@H]([NH2+]C[C@@H](O)c1ccc(Cl)cc1)c1ccc(OC)cc1
Z1578723276,CC[C@@H]([NH2+]C[C@@H](O)c1ccc(Cl)cc1)c1ccc(OC)cc1
Z1082208132,Cc1oc(C)c(S(N)(=O)=O)c1C(=O)NC[C@H](C(=O)N1CCOCC1)c1ccccc1
Z1082208132,Cc1oc(C)c(S(N)(=O)=O)c1C(=O)NC[C@@H](C(=O)N1CCOCC1)c1ccccc1
Z1535677860,CC(C)N1CC[NH+](C2CCN(C(=O)[C@H](C)Oc3cccc(F)c3)CC2)CC1
Z1535677860,CC(C)N1CC[NH+](C2CCN(C(=O)[C@@H](C)Oc3cccc(F)c3)CC2)CC1
Z1537155242,COc1cccc(-c2nc(-c3ccncc3)no2)c1F
Z2043614525,C[C@@H]1CC[C@H](C(=O)[O-])N1S(=O)(=O)c1ccc2c(c1)OCO2
Z2043614525,C[C@H]1CC[C@H](C(=O)[O-])N1S(=O)(=O)c1ccc2c(c1)OCO2
Z2043614525,C[C@@H]1CC[C@@H](C(=O)[O-])N1S(=O)(=O)c1ccc2c(c1)OCO2
Z2043614525,C[C@H]1CC[C@@H](C(=O)[O-])N1S(=O)(=O)c1ccc2c(c1)OCO2
Z1538379946,O=C(c1cc(Cl)c2c(c1)OCCCO2)N(CC(F)F)CC1CCC1
Z57347242,c1ccc(-c2nc(N3CC[NH2+]CC3)nc3ccccc23)cc1
Z1551136188,CC[C@H](C)n1ncc(C(=O)Nc2ccnc(OCC[NH+](C)C)c2)c1C1CC1
Z1551136188,CC[C@@H](C)n1ncc(C(=O)Nc2ccnc(OCC[NH+](C)C)c2)c1C1CC1
Z1552134181,CCCn1ncc(C(=O)NC[C@@H]2CCN(c3ccccc3)C2)c1C1CC1
Z1552134181,CCCn1ncc(C(=O)NC[C@H]2CCN(c3ccccc3)C2)c1C1CC1
Z1554248393,COc1ccc2c(=O)n(CC(=O)N3CCN(C(=O)C4CC4)CC3)cnc2c1
Z1558891036,CCn1cc(S(=O)(=O)N2CCCN(C(=O)C(C)C)CC2)nc1C
Z2066039700,CC(C)c1ccc(Cl)c(S(=O)(=O)N(C)[C@H](C)C(=O)[O-])c1
Z2066039700,CC(C)c1ccc(Cl)c(S(=O)(=O)N(C)[C@@H](C)C(=O)[O-])c1
Z2226011915,CC(=O)NC1CCC([NH2+]Cc2ccc3c(c2)oc(=O)n3C)CC1
Z1566508004,O=C(c1ccc(-c2nc(C3CC3)n[nH]2)cc1)N1CCOC[C@@H]1CCO
Z1566508004,O=C(c1ccc(-c2nc(C3CC3)n[nH]2)cc1)N1CCOC[C@H]1CCO
Z1124252343,Cn1cc(C(=O)NS(=O)(=O)C[C@@H]2CCCCO2)ccc1=O
Z1124252343,Cn1cc(C(=O)NS(=O)(=O)C[C@H]2CCCCO2)ccc1=O
Z2143916721,CN1CC[C@H]([NH+]2CCC(NC(=O)Cc3coc(-c4ccc(Cl)cc4)n3)CC2)C1=O
Z2143916721,CN1CC[C@@H]([NH+]2CCC(NC(=O)Cc3coc(-c4ccc(Cl)cc4)n3)CC2)C1=O
Z1126763719,C[S@](=O)c1nncn1Cc1nc(N)c2c3c(sc2n1)CCCC3
Z1126763719,C[S@@](=O)c1nncn1Cc1nc(N)c2c3c(sc2n1)CCCC3
Z968912532,CN(Cc1ccc(Cl)cc1)C(=O)CCc1nc(-c2nnc[nH]2)no1
Z1137747912,O=C(NCCN1CCOCC1)N1CCCO[C@H](c2ccccc2)C1
Z1137747912,O=C(NCCN1CCOCC1)N1CCCO[C@@H](c2ccccc2)C1
Z2091948198,CS(=O)(=O)c1ccc(N2CCC[C@H](Cn3ccnn3)C2)nc1
Z2091948198,CS(=O)(=O)c1ccc(N2CCC[C@@H](Cn3ccnn3)C2)nc1
Z2092526300,O=C(c1cnn2ncccc12)N1CCC2(CCC2)CC1
Z2092851951,COc1cc(OC)nc(NCc2ccnc(N3CCC[C@H](O)C3)c2)n1
Z2092851951,COc1cc(OC)nc(NCc2ccnc(N3CCC[C@@H](O)C3)c2)n1
Z963804490,CCS(=O)(=O)N1CCN(c2cc(C)nc(C)n2)CC1
Z1601657934,C[C@@H]1CN(c2ncnc3nc[nH]c23)CCN1S(C)(=O)=O
Z1601657934,C[C@H]1CN(c2ncnc3nc[nH]c23)CCN1S(C)(=O)=O
Z1603610303,CN1[NH+]=C(C(=O)N[C@H](C(=O)[O-])c2ccc(Cl)cc2)CCC1=O
Z1603610303,CN1[NH+]=C(C(=O)N[C@@H](C(=O)[O-])c2ccc(Cl)cc2)CCC1=O
Z1603686277,Cc1cc(C(=O)Nc2ccc(OCC(=O)[O-])c(Cl)c2)c(C)[nH]1
Z2102983665,CC(C)[C@@H]1CN(C(=O)NCCC2(O)CCOCC2)CCO1
Z2102983665,CC(C)[C@H]1CN(C(=O)NCCC2(O)CCOCC2)CCO1
Z1404558093,O=C1CCN(C(=O)c2ccc(Br)cc2)c2cnccc2N1
Z1802347338,Cc1ccc(F)c(CNc2cnc3[nH]nc(C)c3c2)c1
Z1817300915,COC(=O)c1cccc(NC(=O)C[NH2+]C2(C(N)=O)CCCCC2)n1
Z1424384619,CNC(=O)[C@@H]1CCCN(C(=O)Nc2sc(C)nc2CC(C)C)C1
Z1424384619,CNC(=O)[C@H]1CCCN(C(=O)Nc2sc(C)nc2CC(C)C)C1
Z1831449588,COc1nn(C)cc1NC(=O)N1CC[C@H](Cc2ccccc2)C1
Z1831449588,COc1nn(C)cc1NC(=O)N1CC[C@@H](Cc2ccccc2)C1
Z1831305582,Cc1cc(C)nc(-n2nccc2NC(=O)N2C[C@H](C)CC2(C)C)n1
